"No","Title_E","SubTitle_E","CodeFlag","Value","MeaningParameterDescription_E","Note_E","UnitComments_E","Status"
1194,"Code table 4.217 - Cloud mask type",,"0",,"Clear over water",,,"Operational"
1195,"Code table 4.217 - Cloud mask type",,"1",,"Clear over land",,,"Operational"
1196,"Code table 4.217 - Cloud mask type",,"2",,"Cloud",,,"Operational"
1197,"Code table 4.217 - Cloud mask type",,"3",,"No data",,,"Operational"
1198,"Code table 4.217 - Cloud mask type",,"4-191",,"Reserved",,,"Operational"
1199,"Code table 4.217 - Cloud mask type",,"192-254",,"Reserved for local use",,,"Operational"
1200,"Code table 4.217 - Cloud mask type",,"255",,"Missing",,,"Operational"
1201,"Code table 4.218 - Pixel scene type",,"0",,"No scene identified",,,"Operational"
1202,"Code table 4.218 - Pixel scene type",,"1",,"Green needle-leafed forest",,,"Operational"
1203,"Code table 4.218 - Pixel scene type",,"2",,"Green broad-leafed forest",,,"Operational"
1204,"Code table 4.218 - Pixel scene type",,"3",,"Deciduous needle-leafed forest",,,"Operational"
1205,"Code table 4.218 - Pixel scene type",,"4",,"Deciduous broad-leafed forest",,,"Operational"
1206,"Code table 4.218 - Pixel scene type",,"5",,"Deciduous mixed forest",,,"Operational"
1207,"Code table 4.218 - Pixel scene type",,"6",,"Closed shrub-land",,,"Operational"
1208,"Code table 4.218 - Pixel scene type",,"7",,"Open shrub-land",,,"Operational"
1209,"Code table 4.218 - Pixel scene type",,"8",,"Woody savannah",,,"Operational"
1210,"Code table 4.218 - Pixel scene type",,"9",,"Savannah",,,"Operational"
1211,"Code table 4.218 - Pixel scene type",,"10",,"Grassland",,,"Operational"
1212,"Code table 4.218 - Pixel scene type",,"11",,"Permanent wetland",,,"Operational"
1213,"Code table 4.218 - Pixel scene type",,"12",,"Cropland",,,"Operational"
1214,"Code table 4.218 - Pixel scene type",,"13",,"Urban",,,"Operational"
1215,"Code table 4.218 - Pixel scene type",,"14",,"Vegetation / crops",,,"Operational"
1216,"Code table 4.218 - Pixel scene type",,"15",,"Permanent snow / ice",,,"Operational"
1217,"Code table 4.218 - Pixel scene type",,"16",,"Barren desert",,,"Operational"
1218,"Code table 4.218 - Pixel scene type",,"17",,"Water bodies",,,"Operational"
1219,"Code table 4.218 - Pixel scene type",,"18",,"Tundra",,,"Operational"
1220,"Code table 4.218 - Pixel scene type",,"19-96",,"Reserved",,,"Operational"
1221,"Code table 4.218 - Pixel scene type",,"97",,"Snow / ice on land",,,"Operational"
1222,"Code table 4.218 - Pixel scene type",,"98",,"Snow / ice on water",,,"Operational"
1223,"Code table 4.218 - Pixel scene type",,"99",,"Sun-glint",,,"Operational"
1224,"Code table 4.218 - Pixel scene type",,"100",,"General cloud",,,"Operational"
1225,"Code table 4.218 - Pixel scene type",,"101",,"Low cloud / fog / Stratus",,,"Operational"
1226,"Code table 4.218 - Pixel scene type",,"102",,"Low cloud / Stratocumulus",,,"Operational"
1227,"Code table 4.218 - Pixel scene type",,"103",,"Low cloud / unknown type",,,"Operational"
1228,"Code table 4.218 - Pixel scene type",,"104",,"Medium cloud / Nimbostratus",,,"Operational"
1229,"Code table 4.218 - Pixel scene type",,"105",,"Medium cloud / Altostratus",,,"Operational"
1230,"Code table 4.218 - Pixel scene type",,"106",,"Medium cloud / unknown type",,,"Operational"
1231,"Code table 4.218 - Pixel scene type",,"107",,"High cloud / Cumulus",,,"Operational"
1232,"Code table 4.218 - Pixel scene type",,"108",,"High cloud / Cirrus",,,"Operational"
1233,"Code table 4.218 - Pixel scene type",,"109",,"High cloud / unknown",,,"Operational"
1234,"Code table 4.218 - Pixel scene type",,"110",,"Unknown cloud type",,,"Operational"
1235,"Code table 4.218 - Pixel scene type",,"111-191",,"Reserved",,,"Operational"
1236,"Code table 4.218 - Pixel scene type",,"192-254",,"Reserved for local use",,,"Operational"
1237,"Code table 4.218 - Pixel scene type",,"255",,"Missing",,,"Operational"
1238,"Code table 4.219 - Cloud top height quality indicator",,"0",,"Nominal cloud top height quality",,,"Operational"
1239,"Code table 4.219 - Cloud top height quality indicator",,"1",,"Fog in segment",,,"Operational"
1240,"Code table 4.219 - Cloud top height quality indicator",,"2",,"Poor quality height estimation",,,"Operational"
1241,"Code table 4.219 - Cloud top height quality indicator",,"3",,"Fog in segment and poor quality height estimation",,,"Operational"
1242,"Code table 4.219 - Cloud top height quality indicator",,"4-191",,"Reserved",,,"Operational"
1243,"Code table 4.219 - Cloud top height quality indicator",,"192-254",,"Reserved for local use",,,"Operational"
1244,"Code table 4.219 - Cloud top height quality indicator",,"255",,"Missing",,,"Operational"
1245,"Code table 4.220 - Horizontal dimension processed",,"0",,"Latitude",,,"Operational"
1246,"Code table 4.220 - Horizontal dimension processed",,"1",,"Longitude",,,"Operational"
1247,"Code table 4.220 - Horizontal dimension processed",,"2-191",,"Reserved",,,"Operational"
1248,"Code table 4.220 - Horizontal dimension processed",,"192-254",,"Reserved for local use",,,"Operational"
1249,"Code table 4.220 - Horizontal dimension processed",,"255",,"Missing",,,"Operational"
1250,"Code table 4.221 - Treatment of missing data",,"0",,"Not included",,,"Operational"
1251,"Code table 4.221 - Treatment of missing data",,"1",,"Extrapolated",,,"Operational"
1252,"Code table 4.221 - Treatment of missing data",,"2-191",,"Reserved",,,"Operational"
1253,"Code table 4.221 - Treatment of missing data",,"192-254",,"Reserved for local use",,,"Operational"
1254,"Code table 4.221 - Treatment of missing data",,"255",,"Missing",,,"Operational"
1255,"Code table 4.222 - Categorical result",,"0",,"No",,,"Operational"
1256,"Code table 4.222 - Categorical result",,"1",,"Yes",,,"Operational"
1257,"Code table 4.222 - Categorical result",,"2-191",,"Reserved",,,"Operational"
1258,"Code table 4.222 - Categorical result",,"192-254",,"Reserved for local use",,,"Operational"
1259,"Code table 4.222 - Categorical result",,"255",,"Missing",,,"Operational"
1260,"Code table 4.223 - Fire detection indicator",,"0",,"No fire detected",,,"Operational"
1261,"Code table 4.223 - Fire detection indicator",,"1",,"Possible fire detected",,,"Operational"
1262,"Code table 4.223 - Fire detection indicator",,"2",,"Probable fire detected",,,"Operational"
1263,"Code table 4.223 - Fire detection indicator",,"3",,"Missing value",,,"Operational"
1264,"Code table 4.224 - Categorical outlook",,"0",,"No risk area",,,"Operational"
1265,"Code table 4.224 - Categorical outlook",,"1",,"Reserved",,,"Operational"
1266,"Code table 4.224 - Categorical outlook",,"2",,"General thunderstorm risk area",,,"Operational"
1267,"Code table 4.224 - Categorical outlook",,"3",,"Reserved",,,"Operational"
1268,"Code table 4.224 - Categorical outlook",,"4",,"Slight risk area",,,"Operational"
1269,"Code table 4.224 - Categorical outlook",,"5",,"Reserved",,,"Operational"
1270,"Code table 4.224 - Categorical outlook",,"6",,"Moderate risk area",,,"Operational"
1271,"Code table 4.224 - Categorical outlook",,"7",,"Reserved",,,"Operational"
1272,"Code table 4.224 - Categorical outlook",,"8",,"High risk area",,,"Operational"
1273,"Code table 4.224 - Categorical outlook",,"9-10",,"Reserved",,,"Operational"
1274,"Code table 4.224 - Categorical outlook",,"11",,"Dry thunderstorm (dry lightning) risk area",,,"Operational"
1275,"Code table 4.224 - Categorical outlook",,"12-13",,"Reserved",,,"Operational"
1276,"Code table 4.224 - Categorical outlook",,"14",,"Critical risk area",,,"Operational"
1277,"Code table 4.224 - Categorical outlook",,"15-17",,"Reserved",,,"Operational"
1278,"Code table 4.224 - Categorical outlook",,"18",,"Extremely critical risk area",,,"Operational"
1279,"Code table 4.224 - Categorical outlook",,"19-254",,"Reserved",,,"Operational"
1280,"Code table 4.224 - Categorical outlook",,"255",,"Missing",,,"Operational"
1281,"Code table 4.230 - Atmospheric chemical constituent type",,,,"(See Common Code table C-14)",,,"Operational"
1282,"Code table 4.233 - Aerosol type",,,,"(See Common Code table C-14)",,,"Operational"
1283,"Code table 5.0 - Data representation template number",,"0",,"Grid point data - simple packing",,,"Operational"
1284,"Code table 5.0 - Data representation template number",,"1",,"Matrix value at grid point - simple packing",,,"Operational"
1285,"Code table 5.0 - Data representation template number",,"2",,"Grid point data - complex packing",,,"Operational"
1286,"Code table 5.0 - Data representation template number",,"3",,"Grid point data - complex packing and spatial differencing",,,"Operational"
1287,"Code table 5.0 - Data representation template number",,"4",,"Grid point data - IEEE floating point data",,,"Operational"
1288,"Code table 5.0 - Data representation template number",,"5-39",,"Reserved",,,"Operational"
1289,"Code table 5.0 - Data representation template number",,"40",,"Grid point data - JPEG 2000 code stream format",,,"Operational"
1290,"Code table 5.0 - Data representation template number",,"41",,"Grid point data - Portable Network Graphics (PNG)",,,"Operational"
1291,"Code table 5.0 - Data representation template number",,"42",,"Grid point and spectral data - CCSDS szip",,,"Validation"
1292,"Code table 5.0 - Data representation template number",,"43-49",,"Reserved",,,"Validation"
1293,"Code table 5.0 - Data representation template number",,"50",,"Spectral data - simple packing",,,"Operational"
1294,"Code table 5.0 - Data representation template number",,"51",,"Spherical harmonics data - complex packing",,,"Operational"
1295,"Code table 5.0 - Data representation template number",,"52-60",,"Reserved",,,"Operational"
1296,"Code table 5.0 - Data representation template number",,"61",,"Grid point data - simple packing with logarithm pre-processing",,,"Operational"
1297,"Code table 5.0 - Data representation template number",,"62-199",,"Reserved",,,"Operational"
1298,"Code table 5.0 - Data representation template number",,"200",,"Run length packing with level values",,,"Operational"
1299,"Code table 5.0 - Data representation template number",,"201-49151",,"Reserved",,,"Operational"
1300,"Code table 5.0 - Data representation template number",,"49152-65534",,"Reserved for local use",,,"Operational"
1301,"Code table 5.0 - Data representation template number",,"65535",,"Missing",,,"Operational"
1302,"Code table 5.1 - Type of original field values",,"0",,"Floating point",,,"Operational"
1303,"Code table 5.1 - Type of original field values",,"1",,"Integer",,,"Operational"
1304,"Code table 5.1 - Type of original field values",,"2-191",,"Reserved",,,"Operational"
1305,"Code table 5.1 - Type of original field values",,"192-254",,"Reserved for local use",,,"Operational"
1306,"Code table 5.1 - Type of original field values",,"255",,"Missing",,,"Operational"
1307,"Code table 5.2 - Matrix coordinate value function definition",,"0",,"Explicit coordinate values set",,,"Operational"
1308,"Code table 5.2 - Matrix coordinate value function definition",,"1",,"Linear coordinates f(1) = C1, f(n) = f(n-1) + C2",,,"Operational"
1309,"Code table 5.2 - Matrix coordinate value function definition",,"2-10",,"Reserved",,,"Operational"
1310,"Code table 5.2 - Matrix coordinate value function definition",,"11",,"Geometric coordinates f(1) = C1, f(n) = C2 × f(n-1)",,,"Operational"
1311,"Code table 5.2 - Matrix coordinate value function definition",,"12-191",,"Reserved",,,"Operational"
1312,"Code table 5.2 - Matrix coordinate value function definition",,"192-254",,"Reserved for local use",,,"Operational"
1313,"Code table 5.2 - Matrix coordinate value function definition",,"255",,"Missing",,,"Operational"
1314,"Code table 5.3 - Matrix coordinate parameter",,"1",,"Direction degrees true",,,"Operational"
1315,"Code table 5.3 - Matrix coordinate parameter",,"2",,"Frequency (s-1)",,,"Operational"
1316,"Code table 5.3 - Matrix coordinate parameter",,"3",,"Radial number (2pi/lambda) (m-1)",,,"Operational"
1317,"Code table 5.3 - Matrix coordinate parameter",,"4-191",,"Reserved",,,"Operational"
1318,"Code table 5.3 - Matrix coordinate parameter",,"192-254",,"Reserved for local use",,,"Operational"
1319,"Code table 5.3 - Matrix coordinate parameter",,"255",,"Missing",,,"Operational"
1320,"Code table 5.4 - Group splitting method",,"0",,"Row by row splitting",,,"Operational"
1321,"Code table 5.4 - Group splitting method",,"1",,"General group splitting",,,"Operational"
1322,"Code table 5.4 - Group splitting method",,"2-191",,"Reserved",,,"Operational"
1323,"Code table 5.4 - Group splitting method",,"192-254",,"Reserved for local use",,,"Operational"
1324,"Code table 5.4 - Group splitting method",,"255",,"Missing",,,"Operational"
1325,"Code table 5.5 - Missing value management for complex packing",,"0",,"No explicit missing values included within data values",,,"Operational"
1326,"Code table 5.5 - Missing value management for complex packing",,"1",,"Primary missing values included within data values",,,"Operational"
1327,"Code table 5.5 - Missing value management for complex packing",,"2",,"Primary and secondary missing values included within data values",,,"Operational"
1328,"Code table 5.5 - Missing value management for complex packing",,"3-191",,"Reserved",,,"Operational"
1329,"Code table 5.5 - Missing value management for complex packing",,"192-254",,"Reserved for local use",,,"Operational"
1330,"Code table 5.5 - Missing value management for complex packing",,"255",,"Missing",,,"Operational"
1331,"Code table 5.6 - Order of spatial differencing",,"0",,"Reserved",,,"Operational"
1332,"Code table 5.6 - Order of spatial differencing",,"1",,"First-order spatial differencing",,,"Operational"
1333,"Code table 5.6 - Order of spatial differencing",,"2",,"Second-order spatial differencing",,,"Operational"
1334,"Code table 5.6 - Order of spatial differencing",,"3-191",,"Reserved",,,"Operational"
1335,"Code table 5.6 - Order of spatial differencing",,"192-254",,"Reserved for local use",,,"Operational"
1336,"Code table 5.6 - Order of spatial differencing",,"255",,"Missing",,,"Operational"
1337,"Code table 5.7 - Precision of floating-point numbers",,"0",,"Reserved",,,"Operational"
1338,"Code table 5.7 - Precision of floating-point numbers",,"1",,"IEEE 32-bit (I=4 in section 7)",,,"Operational"
1339,"Code table 5.7 - Precision of floating-point numbers",,"2",,"IEEE 64-bit (I=8 in section 7)",,,"Operational"
1340,"Code table 5.7 - Precision of floating-point numbers",,"3",,"IEEE 128-bit (I=16 in section 7)",,,"Operational"
1341,"Code table 5.7 - Precision of floating-point numbers",,"4-254",,"Reserved",,,"Operational"
1342,"Code table 5.7 - Precision of floating-point numbers",,"255",,"Missing",,,"Operational"
1343,"Code table 5.40 - Type of compression",,"0",,"Lossless",,,"Operational"
1344,"Code table 5.40 - Type of compression",,"1",,"Lossy",,,"Operational"
1345,"Code table 5.40 - Type of compression",,"2-254",,"Reserved",,,"Operational"
